generation(Wh),datetime,temperature(C),precipitattion(mm),windspeed(m/s),winddirection(degree),humidity(%),airpressure(hPa),irradiance(hr),radiation(MJ/m2),amountofcloud,groundtemperature(C)
0.0,2022-04-01 00:00:00,7.7,,3.1,340,61.0,1017.3,,,9.0,6.1
0.0,2022-04-01 01:00:00,7.1,,2.8,340,67.0,1017.6,,,10.0,6.0
0.0,2022-04-01 02:00:00,6.7,,2.7,320,70.0,1017.4,,,10.0,5.8
0.0,2022-04-01 03:00:00,6.7,,3.1,340,73.0,1017.2,,,9.0,5.3
0.0,2022-04-01 04:00:00,6.6,,3.2,340,71.0,1017.3,,,1.0,4.4
0.0,2022-04-01 05:00:00,6.6,,3.5,340,66.0,1017.5,,,1.0,3.9
1008.0,2022-04-01 06:00:00,6.1,,2.6,340,68.0,1018.0,,,0.0,3.5
25152.0,2022-04-01 07:00:00,6.9,,2.7,340,58.0,1019.0,0.2,,0.0,3.6
107856.0,2022-04-01 08:00:00,8.3,,2.8,360,51.0,1019.5,1.0,,3.0,6.4
195888.0,2022-04-01 09:00:00,9.5,,3.4,20,47.0,1020.0,1.0,,4.0,8.8
238128.0,2022-04-01 10:00:00,10.6,,3.4,20,39.0,1020.3,1.0,,4.0,12.6
356832.0,2022-04-01 11:00:00,11.1,,3.8,70,41.0,1020.3,1.0,,3.0,15.7
343008.0,2022-04-01 12:00:00,10.6,,3.1,50,39.0,1020.0,1.0,,3.0,16.0
373104.0,2022-04-01 13:00:00,11.0,,4.6,90,37.0,1019.3,1.0,,5.0,18.8
329088.0,2022-04-01 14:00:00,11.2,,4.3,70,37.0,1019.0,1.0,,6.0,18.6
271584.0,2022-04-01 15:00:00,10.7,,4.0,90,38.0,1018.6,1.0,,6.0,17.3
141360.0,2022-04-01 16:00:00,10.6,,4.4,90,39.0,1018.4,1.0,,6.0,15.7
59280.0,2022-04-01 17:00:00,9.6,,3.7,70,40.0,1018.4,1.0,,6.0,12.5
6384.0,2022-04-01 18:00:00,9.1,,2.5,50,44.0,1018.6,0.5,,7.0,9.6
0.0,2022-04-01 19:00:00,8.6,,1.4,70,45.0,1018.7,0.0,,7.0,7.3
0.0,2022-04-01 20:00:00,7.8,,0.8,360,50.0,1019.2,,,5.0,6.2
0.0,2022-04-01 21:00:00,7.1,,0.7,340,54.0,1019.7,,,0.0,5.3
0.0,2022-04-01 22:00:00,6.6,,0.8,320,56.0,1019.5,,,0.0,4.5
0.0,2022-04-01 23:00:00,6.1,,1.8,290,59.0,1019.5,,,0.0,3.9
0.0,2022-04-02 00:00:00,5.4,,1.3,270,62.0,1019.6,,,0.0,3.4
0.0,2022-04-02 01:00:00,5.1,,1.7,270,64.0,1019.5,,,0.0,3.0
0.0,2022-04-02 02:00:00,3.6,,0.5,320,71.0,1019.2,,,0.0,2.5
